team,team_name,team_abbr
Atlanta Hawks,atlanta hawks,ATL
NBA SALARIES,atlanta hawks,ATL
Boston Celtics,boston celtics,BOS
Boston Celtis,boston celtics,BOS
Brooklyn Nets,brooklyn nets,BKN
Charlotte Bobcats,charlotte bobcats,CHA
Charlotte Hornets,charlotte hornets,CHA
Chicago Bulls,chicago bulls,CHI
"s2/24-2/27, c",chicago bulls,CHI
Cleveland Cavaliers,cleveland cavaliers,CLE
Dallas Mavericks,dallas mavericks,DAL
Denver Nuggets,denver nuggets,DEN
Detroit Pistons,detroit pistons,DET
Golden State Warriors,golden state warriors,GSW
Houston Rockets,houston rockets,HOU
Indiana Pacers,indiana pacers,IND
Los Angeles Clippers,los angeles clippers,LAC
Los Angeles Lakers,los angeles lakers,LAL
Memphis Grizzlies,memphis grizzlies,MEM
Miami Heat,miami heat,MIA
s 2/28-3/9,miami heat,MIA
Milwaukee Bucks,milwaukee bucks,MIL
Minnesota Timberwolves,minnesota timberwolves,MIN
New Jersey Nets,new jersey nets,BKN
New Orleans Hornets,new orleans hornets,NOP
New Orleans Pelicans,new orleans hornets,NOP
New York Knicks,new york knicks,NYK
Oklahoma City Thunder,oklahoma city thunder,OKC
Orlando Magic,orlando magic,ORL
Philadelphia 76ers,philadelphia 76ers,PHI
Philadelphia claimed,philadelphia 76ers,PHI
"2/11-3/4, c",philadelphia 76ers,PHI
Phoenix Suns,phoenix suns,PHO
Portland Trailblazers,portland trail blazers,PTL
Portland Trail Blazers,portland trail blazers,PTL
Sacramento Kings,sacramento kings,SAC
San Antonio Spurs,san antonio spurs,SAS
Seattle Sonics,seattle supersonics,OKC
Seattle Supersonics,seattle supersonics,OKC
Seattle SuperSonics,seattle supersonics,OKC
Toronto Raptors,toronto raptors,TOR
Utah Jazz,utah jazz,UTA
Vancouver Grizzlies,vancouver grizzlies,MEM
Washington Bullets,washington wizards,WAS
Washington Wizards,washington wizards,WAS
Arenas and Crittenton,washington wizards,WAS
